|name      |ra        |dec      |app_mag|spect_type|result_parallax|bv_color|ub_color|ri_color|
|NN 3958   |16 54 09.5|-87 24 37| 14.58 |DA6       | 41.0          | 0.22   |-0.63   |        |
|Gl 385    |10 07 38.1|-85 07 12| 10.22 |          | 56.6          | 0.34   |        | 0.14   |
|Gl 606.1B |16 10 27.3|-84 13 53| 11.03 |k-m       | 39.0          | 1.36   | 1.19   |        |
|Gl 606.1A |16 10 27.3|-84 13 53|  7.68 |K0 V      | 39.0          | 0.78   | 0.43   | 0.41   |
|NN 3486   |08 04 50.6|-83 13 55| 12.55 |m         | 45.0          |        |        | 1.03   |
|NN 3440   |07 15 33.9|-83 00 25| 11.75 |m         | 44.0          |        |        | 0.89   |
|Gl 67.1   |01 37 52.5|-82 58 37|  5.88 |G2 V      | 58.0          | 0.61   | 0.09   | 0.21   |
|NN 3591   |10 11 32.6|-82 52 42| 11.07 |k         | 39.0          | 1.42   | 1.15   | 0.73   |
|NN 4102   |19 19 53.5|-82 32 28| 12.70 |M3.5      | 63.0          |        |        | 1.16   |
|Gl 820.1  |21 13 04.9|-81 48 43| 13.56 |DA6       | 57.9          | 0.25   |-0.60   |        |
|NN 4154   |20 46 33.3|-81 42 56| 11.50 |m         | 79.0          |        |        | 1.06   |
|NN 4317   |23 14 55.8|-81 20 21| 10.10 |k-m       | 58.0          |        |        | 0.71   |
|GJ 2108   |14 32 19.7|-81 20 18| 13.75 |DA6       | 44.0          | 0.25   |-0.53   |        |
|Wo 9189   |05 37 04.2|-80 28 59|  5.65 |G1 V      | 62.0          | 0.60   | 0.11   | 0.19   |
|NN 4004   |17 29 34.5|-80 10 38| 12.10 |m         | 81.0          |        |        | 1.15   |
|NN 3021   |00 16 05.0|-79 51 02|  6.60 |G6 V      | 52.0          |        |        |        |
|NN 3625   |10 48 13.9|-79 27 53| 13.45 |m         | 63.0          |        |        | 1.25   |
|Gl 808    |20 51 29.0|-79 17 49| 11.85 |M2.5      | 64.3          | 1.50   | 1.03   | 0.95   |
|Gl 626.1  |16 33 29.6|-78 53 43|  3.89 |K0 IV     | 54.1          | 0.91   | 0.62   | 0.44   |
|GJ 1077   |05 16 54.3|-78 16 34| 11.91 |M1.5 V    | 76.8          | 1.48   | 1.20   | 1.08   |
|GJ 2096   |12 40 04.9|-77 50 53|  9.05 |K5 V      | 49.0          | 1.20   | 1.04   | 0.47   |
|GJ 1123   |09 16 45.4|-77 49 40| 13.10 |m         |123.0          | 1.64   | 1.15   | 1.39   |
|Gl 835.1  |21 41 28.1|-77 23 10|  3.75 |K0 III    | 51.5          | 1.00   | 0.89   | 0.46   |
|NN 4340   |23 33 19.0|-77 23 07|  5.81 |G2 V      | 72.0          | 0.68   | 0.31   |        |
|NN 4229A  |21 54 47.7|-77 20 07|  8.24 |K3/4 V    | 49.0          | 1.00   | 0.89   |        |
|NN 4230B  |21 54 47.7|-77 20 07| 10.50 |          | 49.0          |        |        |        |
|NN 3761   |13 08 02.2|-77 18 31|  8.88 |K3 V      | 40.0          | 1.04   | 0.84   | 0.40   |
|Gl 19     |00 25 11.3|-77 15 29|  2.80 |G2 IV     |155.4          | 0.62   | 0.10   | 0.23   |
|NN 4045   |18 19 28.8|-77 02 27| 14.10 |m         | 49.0          |        |        | 1.26   |
|Gl 478    |12 37 02.6|-76 57 13| 11.00 |m         | 29.0          | 1.30   | 1.10   | 0.60   |
|Gl 305    |08 18 30.0|-76 55 14|  4.07 |F6 IV     | 57.4          | 0.40   |-0.02   | 0.24   |
|GJ 1251   |20 27 55.9|-76 40 02| 13.82 |M4.5      | 59.0          | 1.74   | 1.13   | 1.26   |
|NN 3492   |08 13 40.1|-76 09 14| 11.85 |k-m       | 63.0          |        |        | 1.04   |
|Wo 9181   |05 25 20.2|-75 41 15|  7.17 |F8 V      | 27.0          | 0.54   | 0.01   |        |
|Gl 877    |22 55 59.5|-75 26 41| 10.40 |k         |119.9          | 1.49   | 1.05   | 1.06   |
|Gl 667.1  |17 22 24.8|-75 20 40|  7.00 |G2 V      | 35.0          | 0.60   |-0.03   | 0.22   |
|NN 3863   |14 41 50.8|-75 08 20|  6.73 |G5 V      | 45.0          |        |        |        |
|Gl 539.1  |14 08 29.8|-74 51 09|  6.02 |G1 V      | 49.0          | 0.58   | 0.06   | 0.20   |
|Gl 231    |06 10 13.0|-74 45 00|  5.08 |G5 V      |114.1          | 0.72   | 0.33   | 0.23   |
|Wo 9222   |06 53 17.2|-74 43 42|  7.65 |F8 V +A/F | 20.0          | 0.53   | 0.05   |        |
|Gl 391    |10 24 23.4|-74 01 52|  4.00 |F2 IV     | 58.4          | 0.35   |-0.01   |        |
|Gl 818.1B |21 09 17.3|-73 10 09|  6.40 |          | 41.7          |        |        |        |
|Gl 818.1C |21 09 17.3|-73 10 09| 13.50 |          | 41.7          |        |        |        |
|Gl 818.1A |21 09 17.3|-73 10 09|  6.40 |G3 IV  J  | 41.7          | 0.59   | 0.10   | 0.22   |
|NN 3773   |13 16 21.6|-73 07 50| 13.05 |m         | 43.0          |        |        | 1.09   |
|Gl 637    |16 48 30.0|-72 58 08| 11.35 |m         | 67.0          | 1.57   | 1.22   | 0.86   |
|Gl 902    |23 39 35.4|-72 42 40|  7.07 |K3 V      |107.4          | 0.99   | 0.84   | 0.39   |
|NN 3167   |02 32 57.3|-72 41 22|  8.90 |K4 V      | 41.0          | 1.04   | 0.99   | 0.41   |
|GJ 1244   |19 56 16.5|-72 21 34|  8.45 |K5 V      | 49.0          | 1.06   | 0.98   | 0.38   |
|Gl 855.1B |22 24 22.7|-72 14 47|  6.10 |          | 70.0          |        |        |        |
|Gl 855.1A |22 24 22.7|-72 14 47|  5.98 |G0 V J    | 70.0          | 0.65   |-0.06   | 0.28   |
|NN 3344   |05 15 58.5|-72 14 26| 11.70 |m         | 52.0          | 1.40   | 1.11   | 0.96   |
|GJ 1264   |21 49 02.2|-72 05 56|  9.80 |M2 Ve     | 98.0          | 1.46   | 1.16   | 0.86   |
